,Location,kids_0_18,adults_19_25,adults_26_34,adults_35_54,adults_55_64,adults_over_65,white,black,hispanic,asian,amer_ind_ak,nat_haw_pac_is,two_or_more_r,median_hhi,craft_barr_produced,craft_gal_per_adult,b_per_capita
10,GA,0.25928916037662436,0.09267761263714885,0.123229709750214,0.2663508676367598,0.13342346899074,0.12501945373900863,0.5247774001116673,0.3178892926759984,0.09882553458257011,0.0431094437206751,0.0,0.0,0.015398328909089128,53527.0,392002.0,1.7,0.906094470197371
11,HI,0.22938810686584316,0.09372306808388395,0.13114047687446137,0.2367135880494111,0.13825050272910083,0.17071243895432348,0.19170984455958548,0.015616004605641911,0.09736614853195164,0.3866580310880829,0.0,0.17105641911341393,0.13759355210132412,72133.0,48638.0,1.4,2.1435228331780056
12,IA,0.2434807803747344,0.09873800785525723,0.12751915523791127,0.23073208421865946,0.14113708067735498,0.15836069795892085,0.8636481241914619,0.0333117723156533,0.06096377749029754,0.02386804657179819,0.0,0.0,0.018208279430789134,59094.0,61232.0,0.9,4.0001702200093625
13,ID,0.281893984514592,0.09041095890410959,0.10726622989874926,0.2418106015485408,0.12930315664085765,0.14931506849315068,0.8279983184193141,0.007927451804696414,0.13398594678998257,0.018257161732028106,0.0,0.0,0.01183112125397874,56564.0,71334.0,1.9,5.556937878410881
14,IL,0.2417786379427955,0.09807731966940052,0.12069895458222948,0.25691260688167267,0.12798039246791568,0.15456002030553484,0.6152312251237358,0.14301716809800355,0.1718080922834921,0.058717914088009346,0.0,0.0,0.011225600406759195,61386.0,337582.0,1.1,2.552514854799565
15,IN,0.2605025218354041,0.0892022388977734,0.1233085250338295,0.24844691844015254,0.13302681756673637,0.14551297822610407,0.8149633010547092,0.09180904212668846,0.058132362918645535,0.01699253685314254,0.0,0.0,0.018102757046814286,56094.0,225801.0,1.5,3.3894075814601483
16,KS,0.2661780104712042,0.08792321116928446,0.12080279232111693,0.24069808027923212,0.1368586387434555,0.1475392670157068,0.7471134093645959,0.0604236027484593,0.13788340298930368,0.023517744563292486,0.0,0.0,0.031061840334348657,56810.0,51542.0,0.8,2.2355403348554037
17,KY,0.2515610045121006,0.09600747459094845,0.10721936101362746,0.2555945490178205,0.1269085274144296,0.16268629506403537,0.8690683756656142,0.08008576410159747,0.050845860232788274,0.0,0.0,0.0,0.0,45369.0,102751.0,1.0,1.8268733063362057
18,LA,0.25678715736594954,0.09631975537839904,0.12403625641585672,0.2524189144916457,0.1306759855847985,0.13976193076335044,0.5900292224199679,0.32441280513259946,0.05249049722057434,0.017225847560037793,0.0,0.0,0.015841627666820467,42196.0,216715.0,2.0,0.9991771482308687
19,MA,0.21824296418667768,0.09552185969673727,0.1374269868428816,0.26109209982889847,0.13859224733022596,0.14910909198182784,0.7189406360319641,0.06847757049378887,0.12401589341368666,0.0749471942807344,0.0,0.0,0.013618705779825999,72266.0,611341.0,3.8,2.7547169811320757
20,MD,0.24076321467098166,0.09192961165048544,0.1263990021574973,0.2579220604099245,0.1337816882416397,0.14917071197411003,0.5321393439842611,0.2880838506156508,0.10698415928903361,0.050371425663986974,0.0,0.0,0.022421220447067604,73760.0,282593.0,2.0,1.95364532457153
21,ME,0.2055084745762712,0.08043280871670702,0.09745762711864407,0.276180387409201,0.15034806295399517,0.1900726392251816,0.9325937909251983,0.011632385794622911,0.024574377936984824,0.0,0.0,0.0,0.0311994453431939,50856.0,316953.0,9.7,9.714285714285714
22,MI,0.23051186673674848,0.09009218453078882,0.12208385557756843,0.25593336837423686,0.1378118303481179,0.16356689443253952,0.756771556925698,0.1362525478901948,0.05261076350508564,0.034590461510379165,0.0,0.0,0.019774670168642445,57091.0,846029.0,3.7,4.97852273175089
23,MN,0.25429496376411725,0.07657359379023654,0.11382113821138211,0.26761211051024536,0.1273774049957694,0.1603023948791524,0.8088730220709917,0.06481843030066381,0.06401889143005894,0.03869396255183057,0.0,0.0,0.023595693646455067,70218.0,609415.0,4.8,4.069953873856096
24,MO,0.2510910727325216,0.08704807512693803,0.11625655917265271,0.2538930493996977,0.11691884456671252,0.17479239900147742,0.7916432739583865,0.11071981489987921,0.04171557869307065,0.02480477721635278,0.0,0.0,0.03111655523231086,55016.0,368857.0,2.6,2.630325842951407
25,MS,0.2604728469183542,0.09528170686204675,0.10759472202435467,0.2578609952172586,0.13062650520674332,0.1481632237712425,0.5829876229985943,0.37443000651421127,0.027976823122021464,0.0,0.0,0.0,0.01460554736517297,41099.0,28876.0,0.4,0.6421429226676452
26,MT,0.23283437952679864,0.08411395461129889,0.12071463061323032,0.23727667793336552,0.1361661033317238,0.1888942539835828,0.9273754286867056,0.00685898729070002,0.031874117409723624,0.005749445228969134,0.0,0.0,0.028142021383901553,57075.0,179632.0,7.3,9.944612286002014
27,NC,0.24330820496012237,0.0966002204940258,0.11521309456412701,0.2547699214365881,0.13283275230177885,0.15727580624335788,0.6265989313471503,0.21802137305699482,0.10636941386010362,0.028375971502590674,0.0,0.0,0.020634310233160622,53764.0,1269402.0,5.4,3.4127004961541494
28,ND,0.2505670446964643,0.09513008672448299,0.1515677118078719,0.2268178785857238,0.1304869913275517,0.14529686457638424,0.8641622430924186,0.03076085477065469,0.03593303389138424,0.0,0.043555192595617256,0.0,0.02558867564992514,60184.0,11353.0,0.7,2.670464660850988
